subset,scores,kendall_tau,num_instances
boolean_expressions,"Qwen__Qwen2.5-72B-Instruct                0.936
Qwen__Qwen2.5-32B-Instruct                0.916
mistralai__Mistral-Large-Instruct-2411    0.912
meta-llama__Llama-3.3-70B-Instruct        0.916
Qwen__Qwen2-72B-Instruct                  0.920
                                          ...  
nvidia__AceMath-7B-RM                     0.460
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.520
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.664
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.568
PrimeIntellect__INTELLECT-1-Instruct      0.460
Length: 443, dtype: float64",0.700064938868484,250
causal_judgement,"Qwen__Qwen2.5-72B-Instruct                0.668449
Qwen__Qwen2.5-32B-Instruct                0.679144
mistralai__Mistral-Large-Instruct-2411    0.556150
meta-llama__Llama-3.3-70B-Instruct        0.679144
Qwen__Qwen2-72B-Instruct                  0.668449
                                            ...   
nvidia__AceMath-7B-RM                     0.518717
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.481283
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.518717
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.475936
PrimeIntellect__INTELLECT-1-Instruct      0.518717
Length: 443, dtype: float64",0.6377276545651757,187
date_understanding,"Qwen__Qwen2.5-72B-Instruct                0.784
Qwen__Qwen2.5-32B-Instruct                0.712
mistralai__Mistral-Large-Instruct-2411    0.784
meta-llama__Llama-3.3-70B-Instruct        0.704
Qwen__Qwen2-72B-Instruct                  0.692
                                          ...  
nvidia__AceMath-7B-RM                     0.136
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.140
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.164
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.160
PrimeIntellect__INTELLECT-1-Instruct      0.140
Length: 443, dtype: float64",0.7362492431312969,250
disambiguation_qa,"Qwen__Qwen2.5-72B-Instruct                0.744
Qwen__Qwen2.5-32B-Instruct                0.644
mistralai__Mistral-Large-Instruct-2411    0.752
meta-llama__Llama-3.3-70B-Instruct        0.664
Qwen__Qwen2-72B-Instruct                  0.788
                                          ...  
nvidia__AceMath-7B-RM                     0.220
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.388
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.336
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.312
PrimeIntellect__INTELLECT-1-Instruct      0.300
Length: 443, dtype: float64",0.6791785471421542,250
formal_fallacies,"Qwen__Qwen2.5-72B-Instruct                0.776
Qwen__Qwen2.5-32B-Instruct                0.804
mistralai__Mistral-Large-Instruct-2411    0.696
meta-llama__Llama-3.3-70B-Instruct        0.820
Qwen__Qwen2-72B-Instruct                  0.732
                                          ...  
nvidia__AceMath-7B-RM                     0.468
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.468
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.532
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.508
PrimeIntellect__INTELLECT-1-Instruct      0.468
Length: 443, dtype: float64",0.6021450795971371,250
geometric_shapes,"Qwen__Qwen2.5-72B-Instruct                0.464
Qwen__Qwen2.5-32B-Instruct                0.580
mistralai__Mistral-Large-Instruct-2411    0.432
meta-llama__Llama-3.3-70B-Instruct        0.352
Qwen__Qwen2-72B-Instruct                  0.516
                                          ...  
nvidia__AceMath-7B-RM                     0.004
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.332
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.200
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.144
PrimeIntellect__INTELLECT-1-Instruct      0.128
Length: 443, dtype: float64",0.6053011830106326,250
hyperbaton,"Qwen__Qwen2.5-72B-Instruct                0.892
Qwen__Qwen2.5-32B-Instruct                0.788
mistralai__Mistral-Large-Instruct-2411    0.844
meta-llama__Llama-3.3-70B-Instruct        0.708
Qwen__Qwen2-72B-Instruct                  0.892
                                          ...  
nvidia__AceMath-7B-RM                     0.500
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.516
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.488
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.484
PrimeIntellect__INTELLECT-1-Instruct      0.516
Length: 443, dtype: float64",0.5809133109242789,250
logical_deduction_five_objects,"Qwen__Qwen2.5-72B-Instruct                0.704
Qwen__Qwen2.5-32B-Instruct                0.692
mistralai__Mistral-Large-Instruct-2411    0.676
meta-llama__Llama-3.3-70B-Instruct        0.656
Qwen__Qwen2-72B-Instruct                  0.652
                                          ...  
nvidia__AceMath-7B-RM                     0.100
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.176
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.200
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.192
PrimeIntellect__INTELLECT-1-Instruct      0.184
Length: 443, dtype: float64",0.7975612100642473,250
logical_deduction_seven_objects,"Qwen__Qwen2.5-72B-Instruct                0.644
Qwen__Qwen2.5-32B-Instruct                0.656
mistralai__Mistral-Large-Instruct-2411    0.644
meta-llama__Llama-3.3-70B-Instruct        0.624
Qwen__Qwen2-72B-Instruct                  0.580
                                          ...  
nvidia__AceMath-7B-RM                     0.068
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.156
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.144
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.148
PrimeIntellect__INTELLECT-1-Instruct      0.152
Length: 443, dtype: float64",0.7796507995161576,250
logical_deduction_three_objects,"Qwen__Qwen2.5-72B-Instruct                0.940
Qwen__Qwen2.5-32B-Instruct                0.952
mistralai__Mistral-Large-Instruct-2411    0.940
meta-llama__Llama-3.3-70B-Instruct        0.920
Qwen__Qwen2-72B-Instruct                  0.900
                                          ...  
nvidia__AceMath-7B-RM                     0.128
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.316
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.340
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.316
PrimeIntellect__INTELLECT-1-Instruct      0.336
Length: 443, dtype: float64",0.8153616445680711,250
