,size,depth,capability,distinction,kendall_tau
0,25273,2,"Synthesizing, integrating, and optimizing complex interdisciplinary systems and data using advanced programming and analytical techniques for strategic decision-making and scalable management across diverse environments.",Interdisciplinary systems integration and optimization,0.8881401617250672
1,13423,3,Synthesizing and analyzing complex interdisciplinary systems and data for strategic decision-making and optimization across diverse environments and contexts,Interdisciplinary data synthesis for strategic decisions,0.8132166380172706
2,1324,4,"Conducting comprehensive research, analysis, and synthesis of diverse and interdisciplinary information across multiple domains and contexts.",Interdisciplinary research synthesis,0.3537047333078031
3,101,5,"Researching, analyzing, and synthesizing historical, political, and biographical information and trends",Historical and political trends synthesis,0.04144859456973817
4,195,5,"Conducting comprehensive interdisciplinary research and analysis to synthesize, evaluate, and validate information across diverse domains and methodologies.",Interdisciplinary research and validation,-0.15960843093918575
5,127,6,Conducting comprehensive and interdisciplinary research and analysis across diverse domains and methodologies to synthesize and validate information.,Interdisciplinary research synthesis and validation,-0.16002425908011406
6,228,5,Synthesizing and analyzing diverse data and trends across multiple industries and domains,Industry trends data synthesis,0.027516173945218887
7,184,6,Conducting comprehensive research and analysis to synthesize and evaluate diverse data across multiple industries.,Industry-wide data evaluation,-0.03753144575925375
8,143,7,"Researching, analyzing, and synthesizing diverse data and information across multiple sectors and industries.",Synthesizing diverse data across multiple sectors.,0.03032985121697029
9,118,5,"Conducting comprehensive research, evaluation, and analysis across diverse domains and systems for informed decision-making.",Interdisciplinary decision-making analysis,-0.23942243661425136
10,89,5,"Conducting comprehensive research and evaluation of travel, cultural, and recreational environments and services.",Travel and cultural environments research,0.17420142252373688
11,222,5,"Synthesizing and analyzing historical, cultural, and contextual insights across diverse domains",Historical and cultural insights synthesis,0.24294033004254448
12,172,6,"Synthesizing and analyzing comprehensive historical, cultural, and contextual information across diverse domains",Comprehensive cross-domain insights,0.2207074665469763
13,143,7,Conducting and synthesizing comprehensive historical and contextual research across diverse domains,Comprehensive historical and contextual research,-0.007231015260621873
14,68,5,"Researching and analyzing comprehensive sports and esports data, events, and biographies",Sports and esports data analysis,
15,418,4,Analyzing and interpreting numerical values for precision and comprehensive evaluation across contexts,Numerical precision evaluation,0.10523810852149891
16,226,5,Analyzing and interpreting numerical and decimal values for precision and significance across contexts,Interpreting numerical and decimal values for significance,-0.01637048363424857
17,190,6,Analyzing and comparing decimal and numerical values for precision and significance,Precision comparison of decimal and numerical values,-0.08742482866072132
18,74,7,Analyzing and comparing decimal values through place value and digit significance analysis,Place value and digit significance in decimals,-0.08907986681660889
