node,depth,mean_kendall_tau,std_kendall_tau,num_instances
Analyzing and interpreting chronological relationships and event sequences under time constraints,2,0.8240199491736372,0.018901053996173024,517
Analyzing time constraints and event relationships to identify feasible options and scenarios,3,0.8188129826649109,0.028605791050843144,250
Analyzing time constraints and sequential events to identify feasible intervals,4,0.7505952648814932,0.03104585034047252,66
Analyzing scheduling conflicts and time constraints to identify gaps,4,0.7349469646197921,0.045799680651818706,70
Analyzing scheduling conflicts and time constraints,5,0.7337170190193146,0.040755327901220426,68
"Analyzing, calculating, and interpreting chronological relationships and date sequences with precision and accuracy.",3,0.8096362090656498,0.017627503157942308,267
Calculating relative and subsequent dates while accounting for variations and reference points.,4,0.7130642045765037,0.03102992554867988,58
Calculating and interpreting date and time intervals with precision and accuracy,4,0.6417702032742454,0.034341451739406066,66
"Analyzing and identifying discrepancies in translation accuracy, completeness, and numerical consistency across various contexts.",2,0.8422882256621635,0.020735192552254714,244
Identifying and analyzing discrepancies in named entities during translation evaluations and analyses.,3,0.822474793539318,0.01742873884809649,59
Categorizing and analyzing objects and data through logical reasoning and defined criteria.,2,0.8775607089011018,0.00922055119257596,453
"Categorizing, analyzing, and classifying objects based on visual attributes, color distinctions, and defined criteria.",3,0.8262952182113498,0.01547871756802203,95
"Analyzing, counting, and categorizing distinct items and data through logical reasoning and specified criteria.",3,0.8382551928781541,0.012426649418517158,358
Counting and categorizing distinct items based on defined classifications and attributes.,4,0.655438423551667,0.03471606579294008,77
Counting and categorizing distinct and discrete items accurately,4,0.7446085254715844,0.025473967247059078,63
Counting and aggregating distinct and discrete items accurately,4,0.7055833128301813,0.02630831759438226,70
Analyzing thematic and stylistic similarities across diverse cinematic narratives and genres,2,0.8499038475387239,0.015089269839191542,250
Analyzing thematic and stylistic similarities across diverse cinematic works to identify connections and matching titles.,3,0.8003333961053911,0.018978194945778598,115
Analyzing thematic and stylistic similarities across diverse cinematic works,4,0.7995561789674787,0.018343299549062705,110
Analyzing thematic and stylistic similarities among films.,5,0.753980947671821,0.021931782739952173,65
Interpreting nuanced language through contextual analysis and creative evaluation of humor and cultural references,2,0.866893579604284,0.01857073730742305,469
Identifying and interpreting sarcasm through contextual analysis and tone evaluation in various forms of communication,3,0.6571426837985008,0.08388662100507906,173
Mastering the analysis and creative interpretation of humorous wordplay and cultural references,3,0.8682158609229603,0.018679809966772574,252
"Identifying, analyzing, and creatively interpreting humorous wordplay and puns",4,0.8067246580257451,0.027422483032599535,78
Identifying and interpreting humorous wordplay in creative contexts,5,0.7836289368903083,0.03183264764235668,54
"Analyzing and interpreting spatial relationships, movements, and geometric properties through visual representation and sequential evaluation.",2,0.8194269334214253,0.031434064424579446,708
"Analyzing and interpreting geometric shapes and their properties through visual representation, path analysis, and relationship identification.",3,0.7442597152733113,0.048669289347323126,115
Analyzing and visualizing spatial movements and relationships to assess positional outcomes and directional attributes.,3,0.615932718208871,0.16279328324723616,119
Analyzing spatial movements and directional changes for accurate positional assessment and outcome evaluation.,4,0.30947078072038087,0.2535523354395261,54
Analyzing and calculating net displacement through spatial movements and their effects,3,0.7547906580568822,0.05577668721319188,107
Tracking and analyzing dynamic positional changes and movements in complex sequences and environments,3,0.20106676460497613,0.07465241407076005,119
Analyzing and interpreting geometric properties to identify shapes in SVG path commands,3,0.869483958341342,0.03191930671528332,51
Tracking and analyzing dynamic sequential exchanges to deduce ownership outcomes and relational dynamics,2,0.2790880969594987,0.0737099044586173,592
Tracking and systematically analyzing sequential partner exchanges to understand relational dynamics.,3,0.10676551759985717,0.09433847526943476,70
Tracking and analyzing sequential exchanges to monitor item ownership changes,3,0.17368509506644533,0.13109263093217458,97
Analyzing and tracking item ownership through sequential exchanges,4,-0.1584877146072476,0.10946664347372594,51
Tracking and analyzing sequential exchanges to deduce and determine outcomes,3,0.2228075522971451,0.08166647653290253,95
Tracking and analyzing sequential exchanges to determine outcomes,4,0.17744951348054605,0.08105403927262832,81
Analyzing and tracking ownership through logical deduction in sequential exchanges,3,0.3505754293660176,0.07472829437826772,226
Analyzing and deducing ownership through logical deduction in sequential exchanges,4,0.3548560090178159,0.07247402418414059,220
Analyzing and deducing ownership through logical deduction in sequential exchanges,5,0.12090382264962857,0.09145711092930305,77
Analyzing and tracking item ownership through logical deduction in sequential exchanges,6,0.0677360951915948,0.09359529328633746,62
