,size,depth,capability,distinction,kendall_tau
0,203,2,"Analyzing, optimizing, and manipulating numerical relationships through prime factorization, divisibility, and modular arithmetic.",Numerical relationships through factorization and modular arithmetic,0.8447064899346357
1,66,3,"Analyzing and applying prime factorization, divisibility, and integer properties to evaluate numerical relationships and simplify expressions.",Applying prime factorization and integer properties,0.7390115606953088
2,255,2,"Analyzing, optimizing, and calculating quantitative relationships through advanced techniques, statistical reasoning, combinatorial methods, and geometric principles.",Statistical reasoning and combinatorial analysis of relationships,0.8807325003811654
3,66,3,Analyzing and calculating probabilities through combinatorial methods and expected value reasoning.,Calculating probabilities with combinatorial methods.,0.7556776283797623
4,534,2,"Analyzing, optimizing, and manipulating mathematical expressions and functions through algebraic techniques, geometric interpretation, and advanced problem-solving methods.",Algebraic manipulation and geometric interpretation of functions,0.9201438759304527
5,53,3,"Analyzing and transforming mathematical functions and structures through trigonometric properties, vector manipulations, and complex number transformations.",Transforming functions using trigonometric and vector properties,0.6006286876531858
6,76,3,Analyzing and solving quadratic equations and functions through algebraic manipulation and geometric interpretation.,Solving quadratic equations through manipulation and geometry,0.7874085287848561
7,73,3,"Applying advanced problem-solving techniques through algebraic manipulation, functional analysis, and geometric interpretation to derive, simplify, and solve mathematical equations and inequalities.",Applying advanced problem-solving techniques in mathematics,0.8288152029264326
8,60,3,"Simplifying, manipulating, and analyzing algebraic, exponential, and rational expressions through various techniques and properties.",Simplifying algebraic and rational expressions,0.7986508442594011
9,68,3,"Optimizing and manipulating mathematical expressions and relationships using inequalities, algebraic techniques, and multivariable calculus.",Optimizing expressions using inequalities and calculus,0.7665565270280372
10,75,3,"Manipulating and solving polynomial expressions through interpolation, recurrence relations, systematic techniques, matrix operations, and trigonometric identities.",Manipulating polynomial expressions and solving equations,0.7534365801218799
11,69,4,"Analyzing, manipulating, and solving polynomial expressions and equations through systematic techniques, matrix operations, and trigonometric identities.",Polynomial analysis through systematic techniques and matrix operations,0.749395511593842
12,57,3,"Analyzing, optimizing, and interpreting mathematical functions and their properties to determine solutions, ranges, critical points, and valid input domains.",Analyzing mathematical functions and their properties,0.726066967234706
13,332,2,"Analyzing and applying geometric properties, relationships, and transformations across two- and three-dimensional contexts using algebraic, trigonometric, and spatial reasoning.",Geometric properties and transformations in 2D and 3D,0.890941674844912
14,62,3,"Analyzing and calculating geometric properties, relationships, and probabilities through various methods and representations.",Exploring geometric properties and probabilities through various methods.,0.8018992774717726
15,54,4,"Analyzing and calculating geometric properties, areas, and probabilities through decomposition, algebraic manipulation, and graphical representation in coordinate systems.",Geometric analysis through decomposition and graphical methods,0.7962095741301537
16,55,3,"Applying geometric analysis and proportional reasoning to solve problems involving lengths, areas, and relationships in polygons and triangles.",Analyzing lengths and relationships in polygons and triangles.,0.6332107862692142
