node,depth,mean_kendall_tau,std_kendall_tau,num_instances
"Analyzing and optimizing geometric and algebraic relationships using matrix operations, transformations, and trigonometric principles across various mathematical contexts.",2,0.9339683991532124,0.0939309820197034,1325
Analyzing and manipulating vector operations and relationships in multi-dimensional spaces using geometric and algebraic methods.,3,0.7545921063377201,0.2018445670392916,105
"Analyzing and solving geometric and algebraic problems using coordinate geometry, complex numbers, and conic sections",3,0.8686802878960573,0.15223921847883104,119
Analyzing and transforming geometric and algebraic structures using matrix operations and transformations,3,0.9001752532056019,0.13078422502821496,62
"Applying geometric, trigonometric, and algebraic principles to solve and optimize problems involving areas, angles, lengths, and coordinates in various geometric figures.",3,0.8610276281533786,0.14197136331321017,215
"Calculating and analyzing geometric properties and dimensions using algebraic, geometric, trigonometric, vector, and combinatorial methods",3,0.9068881183537671,0.10011531646672579,215
"Calculating and analyzing areas, perimeters, and geometric properties using decomposition, algebraic reasoning, integration, and proportional reasoning",4,0.8441766742476816,0.1512509628638272,135
"Calculating and reasoning about areas, perimeters, and geometric relationships using decomposition, algebraic reasoning, and probabilistic principles",5,0.807188780616771,0.1793334045215069,80
"Converting, analyzing, and optimizing geometric and spatial relationships using coordinate systems, angular calculations, and algebraic principles",3,0.9118770236891341,0.11922091679390637,105
"Analyzing and optimizing geometric properties using algebraic, trigonometric, and complex number principles in circles and coordinate systems",4,0.8059671802181574,0.16298789083652854,67
Calculating and applying proportional relationships and conversions across mathematical and geometric contexts,3,0.8983733630267278,0.12368764666441177,62
"Optimizing and analyzing mathematical relationships and structures using inequalities, calculus, and transformations",3,0.9293060521448829,0.10077056063819649,168
"Analyzing and solving geometric and algebraic problems involving sequences, properties, relationships, dimensions, and measurements across various contexts and structures using calculus and transformations",4,0.9379474864560815,0.09739416698052278,158
"Analyzing and optimizing geometric properties and relationships using calculus, algebra, and transformations across various dimensions and contexts",5,0.862749023253312,0.1438120323659798,87
"Applying and solving geometric and algebraic problems involving properties, relationships, dimensions, and measurements of shapes and spaces.",5,0.8713601500957929,0.1348263901901391,51
"Analyzing and applying trigonometric principles, identities, and functions to solve and understand geometric and algebraic problems.",3,0.872704620639123,0.1198001553166345,171
"Applying and analyzing the Pythagorean theorem, geometric theorems, and trigonometric concepts to calculate distances, areas, and solve for unknowns in geometric figures and right triangles.",3,0.9347603873811141,0.10165691955897761,103
"Analyzing and manipulating numerical properties, patterns, and expressions using arithmetic, algebraic, geometric, and number theory techniques across various mathematical contexts and systems.",2,0.9026552321337175,0.10263299616412172,990
"Performing and analyzing arithmetic operations and manipulations across various numeral systems and formats, including conversions, estimations, and advanced calculations with precision and understanding.",3,0.8715907604987931,0.14150222452834055,130
"Analyzing and manipulating prime factorizations and numerical properties through combinatorial, algebraic, and modular techniques",3,0.8896112579398208,0.12698481436795075,166
"Applying and analyzing modular arithmetic to solve congruences, simplify expressions, and explore patterns and sequences.",3,0.9356162398525367,0.09299956124018573,174
Analyzing and manipulating numerical properties and integer values across various mathematical operations and constraints,3,0.8885600143372512,0.14316653406623756,72
Analyzing and applying prime factorizations and the Euclidean algorithm to determine and utilize greatest common divisors and least common multiples in various mathematical contexts.,3,0.8021337604592909,0.17109498479938084,79
"Analyzing and applying divisibility, integer properties, and number theory for logical reasoning and solving equations",3,0.838490953177625,0.15295309684455355,90
Analyzing and applying divisibility and integer properties for logical reasoning and optimization,4,0.8047900754490281,0.19298716426192353,56
"Manipulating and simplifying numerical expressions and fractions using arithmetic, algebraic, and geometric techniques",3,0.9461592900130265,0.08887155606605103,142
"Analyzing and manipulating numerical patterns, sequences, and transformations through systematic reasoning and advanced mathematical techniques",3,0.8491419347532014,0.1631569700190949,137
"Analyzing and optimizing numerical patterns, sequences, and properties through systematic reasoning and manipulation across various numeral systems.",4,0.8216130149200738,0.145978873443127,80
"Optimizing, manipulating, and analyzing mathematical expressions and functions using advanced algebraic, trigonometric, and solving techniques",2,0.9417841995766062,0.09034667358487108,2004
Optimizing and analyzing mathematical expressions and functions through advanced manipulation and solving techniques,3,0.9360499653259196,0.09844014634967206,581
"Optimizing expressions and functions using algebraic manipulation, inequalities, and advanced mathematical techniques",4,0.8919362902905402,0.12044680087294539,104
"Analyzing and manipulating mathematical functions, expressions, and systems through evaluation, transformation, and solving techniques across various contexts and types.",4,0.9118552321337174,0.09797977153659944,477
"Analyzing and manipulating mathematical functions and expressions through recursive, exponential, logarithmic, trigonometric, and algebraic techniques and transformations.",5,0.8632407785273725,0.14511230309549253,63
Analyzing and manipulating algebraic inequalities and equations to solve problems and determine properties,5,0.9216633478923354,0.10670314916056012,111
Analyzing and manipulating inequalities and expressions to solve algebraic problems and determine function properties,6,0.8702236169720297,0.13316560624403162,64
Analyzing and solving complex mathematical systems and transformations,5,0.8766589682781242,0.13073360531920272,54
"Analyzing and solving quadratic functions and equations through transformation, optimization, and discriminant analysis within various mathematical contexts",5,0.7910805739353195,0.15495573118986292,72
"Manipulating and analyzing mathematical expressions and equations using algebraic, trigonometric, and advanced mathematical techniques",3,0.969384199576606,0.0713741802840676,1423
"Manipulating and simplifying polynomial expressions and equations through interpolation, expansion, factorization, and algebraic identities.",4,0.9500943789489591,0.0911202135193609,213
"Analyzing and manipulating polynomial expressions and equations using algebraic identities, factorization, and division techniques",5,0.8787053023830583,0.1428491527898814,64
"Manipulating and evaluating polynomial expressions and functions through interpolation, simplification, and systematic methods",5,0.9009426285828039,0.1275402171333991,51
Factoring and manipulating algebraic expressions and polynomials for solving equations and optimizing mathematical expressions.,5,0.779866064594716,0.16314700728149484,53
Manipulating and analyzing quadratic equations and expressions for optimization and determination of zeros.,4,0.922407830863536,0.09467731281371701,180
"Manipulating, solving, and analyzing quadratic equations and algebraic expressions across various forms and contexts",5,0.9497006308242345,0.029179236820613106,117
"Completing the square and manipulating quadratic expressions and equations for analysis, transformation, and optimization.",5,0.8933776447882588,0.11774145599257083,62
"Applying Vieta's formulas and manipulating algebraic, polynomial, and trigonometric expressions to analyze and transform equations and polynomial roots and coefficients",4,0.8911344129577874,0.13827312841756195,68
Solving and manipulating equations and systems using algebraic techniques and reasoning across various mathematical contexts,4,0.9068936700566471,0.10337833954812978,245
Solving and optimizing systems of linear equations through algebraic manipulation and vector operations,5,0.7780691434121263,0.19191556131042217,57
"Simplifying and manipulating mathematical expressions and equations using algebraic, combinatorial, and trigonometric techniques",4,0.8578743292723751,0.15423816957306755,267
"Simplifying and manipulating algebraic, rational, and radical expressions and equations using properties of exponents, trigonometric identities, and rationalization techniques.",5,0.9054415544627405,0.1076128696936418,81
"Manipulating and solving expressions and equations using properties of exponents, roots, and inverse functions",5,0.898634235012106,0.11012548649299136,81
"Simplifying and solving expressions and equations using properties of exponents, roots, and inverse functions",6,0.9075228232996437,0.1099802642458042,54
