dart-math-llama3-8b-uniform,gpt-4o-mini-2024-07-18,Llama-3.1-8B-Instruct
1,1,1
1,1,0
0,1,1
1,1,1
0,1,1
0,0,0
1,1,1
0,0,0
1,1,0
0,1,0
1,1,1
0,0,0
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,1
1,0,1
0,0,0
0,0,0
0,1,0
0,1,1
1,1,1
0,1,0
1,1,1
0,0,0
0,1,0
1,0,1
0,1,1
0,0,0
0,0,0
0,1,1
0,1,0
0,0,0
1,1,0
1,1,1
0,0,0
0,1,0
1,1,1
1,1,0
1,1,1
0,1,0
0,1,0
0,0,0
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
0,1,0
0,1,0
0,0,1
0,1,0
1,0,1
1,1,1
0,0,0
1,1,1
1,1,1
0,1,1
0,0,0
0,0,0
1,1,0
0,0,0
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,0
1,1,1
0,1,1
0,0,1
0,0,0
1,1,1
0,1,0
1,1,1
0,1,0
0,1,0
0,0,0
0,1,1
1,1,1
1,0,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,1
1,1,0
1,1,1
1,0,1
0,1,1
1,1,1
0,1,1
1,1,1
0,0,0
1,0,0
0,0,0
0,1,1
1,1,1
1,0,1
1,1,1
1,1,1
1,1,1
1,1,0
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
0,0,1
1,1,1
0,0,0
1,0,1
0,0,0
1,1,1
0,1,0
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
0,1,0
0,0,0
1,1,1
1,1,1
0,0,0
1,1,1
1,1,1
1,1,1
1,1,1
0,1,1
1,1,1
0,0,0
1,1,1
1,1,1
1,1,0
0,0,0
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,0
0,1,1
0,1,1
1,1,1
1,1,1
1,0,0
1,1,1
