,size,depth,capability,distinction,kendall_tau
0,1517,2,"Crafting immersive, emotionally resonant, and character-driven narratives with dynamic storytelling and thematic depth across diverse contexts.",Immersive and resonant narrative crafting,1.0
1,293,3,"Crafting and facilitating engaging, emotionally resonant, and character-driven dialogue and interactions across diverse contexts and themes","Engaging, character-driven dialogue across themes",1.0
2,91,4,"Crafting engaging, emotionally resonant dialogue exploring complex relationships, cultural themes, and humor.","Complex, cultural, humorous dialogue",1.0
3,5,5,"Crafting engaging and relatable dialogue exploring emotions, identity, relationships, and cultural themes.",Relatable dialogue on emotions and identity,
4,2,6,"Crafting engaging and relatable dialogue that explores character fears, backgrounds, and cultural identity.",Exploring fears and cultural identity,-1.0
5,1,7,Crafting relatable dialogue that explores character fears and cultural backgrounds.,Character fears and cultural backgrounds,-1.0
6,1,7,Crafting engaging and relatable dialogue that explores character backgrounds and cultural identity.,Character backgrounds and cultural identity,
7,2,6,"Crafting relatable and authentic dialogue capturing teenage emotions, dynamics, relationships, and identity exploration.",Authentic teenage emotions and relationships,
8,1,7,Crafting relatable and humorous dialogue that captures teenage emotions and dynamics.,Teenage emotions and dynamics humor,
9,1,7,Crafting authentic and relatable dialogue that captures the nuances of teenage relationships and identity exploration.,Teenage relationships and identity nuances,
10,1,6,Crafting engaging dialogue that explores complex themes of identity and intimacy through playful interaction.,Playful dialogue on identity and intimacy,1.0
11,31,5,"Crafting engaging and multifaceted dialogue blending humor, emotional depth, and cultural nuances in diverse scenarios.","Humorous, culturally nuanced dialogue",1.0
12,1,6,Crafting dialogue that captures distinct perspectives and emotions in a surreal scenario,Distinct perspectives in surreal scenarios,1.0
13,28,6,"Crafting engaging and multifaceted dialogue exploring character dynamics, emotional depth, humor, and cultural nuances.",Character dynamics with emotional depth and cultural nuances,1.0
14,3,7,"Crafting engaging dialogue that conveys character emotions, balances plot tension, and reveals motivations.",Dialogue conveying emotions and plot tension,1.0
15,1,8,Crafting engaging dialogue that reveals character motivations and advances the plot.,Revealing motivations and advancing plot,1.0
16,1,8,Crafting engaging dialogue that conveys character emotions and advances the plot.,Conveying emotions and advancing plot,1.0
17,1,8,Crafting engaging dialogue that balances character emotions and plot tension,Balancing emotions and tension,1.0
18,1,7,Crafting humorous dialogue that captures character dynamics and emotional confusion.,Humorous dialogue with emotional confusion,
19,1,7,Crafting engaging and empathetic dialogue for character development in a romantic comedy narrative.,Romantic comedy character development dialogue,
20,4,7,"Crafting engaging and playful dialogue that explores character dynamics, personal interests, and reveals traits through humorous confessions.",Playful dialogue with humorous confessions,
21,1,8,Crafting engaging and playful dialogue that explores character dynamics and personal interests.,Playful dialogue exploring dynamics and interests,1.0
22,3,8,"Crafting humorous and engaging dialogue that reveals character traits, personal secrets, and dynamics through accidental confessions.",Humorous dialogue revealing traits through confessions,-1.0
23,1,9,Crafting humorous and engaging dialogue that reveals character traits through accidental confessions.,Character traits exposed via accidental confessions,
24,2,9,"Crafting humorous and engaging dialogue that reveals character traits, personal secrets, and dynamics.",Revealing secrets and dynamics through humor,-1.0
25,1,10,Crafting engaging and humorous dialogue that reveals character traits and personal secrets.,Secrets unveiled with humor,-1.0
26,1,10,Crafting humorous and engaging dialogue that reveals character traits and dynamics.,Character dynamics through humor,
27,1,7,Crafting a vivid portrayal of escalating intoxication through dialogue and physical expression.,Portraying intoxication through dialogue,
28,12,7,"Crafting engaging dialogue that captures emotional and physical interactions, explores character dynamics, emotional depth, motivations, and conflict resolution.",Dialogue capturing interactions and conflict resolution,1.0
29,4,8,Crafting engaging dialogue that captures emotional and physical interactions and dynamics,Emotional and physical interactions,
30,1,9,Crafting engaging dialogue that captures emotional reactions and group dynamics,Emotional reactions and group dynamics,1.0
31,2,9,"Crafting engaging dialogue that captures character interactions, dynamics, and emotional responses in a narrative context",Character dynamics and emotional responses,
32,1,10,Crafting engaging dialogue that captures character interactions and emotions,Character interactions and emotions,
33,1,10,Crafting engaging dialogue that captures character dynamics and emotional responses in a narrative context.,Character dynamics and emotional responses,
34,1,9,Crafting engaging dialogue while vividly depicting physical interactions and emotional dynamics.,Physical and emotional interaction depiction,-1.0
35,8,8,"Crafting engaging dialogue that explores character dynamics, emotional depth, motivations, and conflict resolution.",Character dynamics and conflict resolution,1.0
36,2,9,"Crafting engaging dialogue that explores character motivations, social dynamics, and conflict resolution.","Motivations, social dynamics, and conflict resolution",
37,1,10,Crafting engaging dialogue that explores character motivations and social dynamics.,Social dynamics in character dialogue,1.0
38,1,10,Crafting engaging dialogue that captures character motivations and conflict resolution.,Character-driven conflict dialogue,-1.0
39,1,9,Crafting engaging and relatable dialogue that explores character dynamics and personal growth.,Character dynamics and personal growth,
40,1,9,Crafting engaging dialogue that captures complex interpersonal dynamics among characters.,Complex interpersonal dynamics,
